medicationAID,medicationBID,ConflictCheck,severity
68081469,26857064,True,High
18511945,22485560,True,High
88068083,59157244,True,High
58920866,96027889,True,Low
74474752,53620130,True,Medium
88068083,77884265,True,Low
16107287,59375716,True,High
22485560,31049291,True,Medium
15005786,99897288,True,Low
84190053,99374169,True,Low
09814268,81048194,True,Medium
62839021,85254413,True,Low
39331910,65387906,True,High
68081469,70659904,True,Medium
07641069,92612840,True,Low
79575400,50543691,True,Medium
29603755,02208115,True,Medium
83542041,15183457,True,Medium
22825206,82306817,True,Medium
90138754,28249590,True,Medium
03841981,23933794,True,Medium
02001293,27042460,True,Medium
97019286,79956098,True,Low
28841218,77267331,True,Medium
63685600,74929255,True,High
65098432,43204456,True,Low
65936817,81782161,True,Low
44766316,92792253,True,Medium
44510940,92612840,True,High
50250105,40668042,True,Medium
30530593,90670372,True,Low
43456696,80732429,True,Low
64807247,27515607,True,Low
25672800,37298278,True,Medium
98326452,53690369,True,Medium
28027912,02001293,True,High
10242377,32532595,True,Medium
73950383,31065883,True,Medium
80732429,62633423,True,Low
39440816,12412712,True,Medium
94741217,59574941,True,High
92603968,16785730,True,Low
59734616,38038774,True,Medium
25465473,74902988,True,Low
26943983,94741217,True,High
08343655,69750169,True,Medium
62101244,04813825,True,Low
63926167,38464502,True,High
55307858,40342828,True,Medium
12725230,31967800,True,Medium
29463612,27892616,True,High
50864452,00881103,True,High
34115718,99796772,True,Medium
41782485,13996338,True,Medium
77937371,20176747,True,Medium
23933794,43171785,True,Medium
25071416,67427304,True,Low
58067906,17535967,True,High
58127194,18031667,True,Medium
12274358,95559043,True,Low
06401225,30530593,True,Low
81575555,81097978,True,Medium
31370289,32467875,True,Medium
02958981,06025070,True,High
57005245,90138754,True,Medium
97962854,73010467,True,High
75292430,92273910,True,High
68614533,32526059,True,Low
62278023,16929993,True,High
39935049,08343655,True,Medium
39672744,42260481,True,Medium
38710555,26943983,True,High
44142472,90844586,True,Medium
24774997,19732458,True,High
76073591,64369007,True,Low
79156690,24532585,True,Low
29353467,58322792,True,Low
77320959,84008321,True,Medium
