medID,sideEffects,Severity
64887069,Headache,Moderate
64887069,Fatigue,Mild
64887069,Nausea,Severe
52998562,Headache,Mild
52998562,Nausea,Mild
61452037,Fatigue,Mild
61452037,Dry mouth,Severe
82231838,Dizziness,Moderate
82231838,Dry mouth,Moderate
83418875,Dizziness,Moderate
83418875,Headache,Severe
57596972,Headache,Mild
85229368,Headache,Severe
85229368,Dry mouth,Severe
85229368,Fatigue,Moderate
54995458,Headache,Severe
54995458,Nausea,Severe
47708589,Nausea,Severe
47708589,Fatigue,Severe
05859446,Fatigue,Severe
77093691,Headache,Mild
79410287,Headache,Severe
86772023,Fatigue,Moderate
86772023,Nausea,Mild
86772023,Dizziness,Mild
12550917,Dry mouth,Moderate
12550917,Nausea,Severe
12550917,Fatigue,Severe
71320675,Dizziness,Mild
18033685,Dizziness,Mild
02001293,Headache,Moderate
02001293,Nausea,Moderate
18114280,Headache,Severe
18114280,Dry mouth,Severe
79699733,Nausea,Mild
79699733,Headache,Mild
79699733,Dry mouth,Mild
15344985,Nausea,Moderate
15344985,Fatigue,Moderate
44955980,Fatigue,Severe
44955980,Dry mouth,Mild
44955980,Dizziness,Severe
96805038,Dizziness,Severe
96805038,Headache,Severe
96805038,Nausea,Moderate
46655503,Dizziness,Severe
46655503,Fatigue,Severe
97253014,Nausea,Mild
97253014,Dry mouth,Mild
46611086,Dizziness,Severe
59734616,Fatigue,Moderate
20074535,Fatigue,Severe
20074535,Dizziness,Mild
20074535,Nausea,Mild
56762130,Dry mouth,Severe
56762130,Fatigue,Mild
44142472,Fatigue,Severe
06025070,Dry mouth,Severe
06025070,Fatigue,Mild
66602896,Fatigue,Mild
66602896,Headache,Severe
78479281,Nausea,Moderate
78479281,Dizziness,Mild
37402760,Headache,Moderate
40425493,Headache,Moderate
68192991,Headache,Moderate
68192991,Nausea,Moderate
83449560,Headache,Mild
83449560,Dizziness,Severe
83449560,Fatigue,Mild
70289842,Dizziness,Mild
70289842,Nausea,Severe
70289842,Dry mouth,Severe
75613020,Dizziness,Moderate
88087064,Dizziness,Moderate
88087064,Nausea,Severe
88087064,Fatigue,Severe
16785730,Fatigue,Mild
16785730,Dry mouth,Mild
16785730,Nausea,Mild
48429290,Headache,Moderate
27554888,Fatigue,Severe
27554888,Dizziness,Mild
27554888,Headache,Mild
69481104,Nausea,Moderate
80566769,Headache,Severe
56878568,Dry mouth,Mild
10823137,Dizziness,Moderate
10823137,Dry mouth,Severe
10823137,Headache,Moderate
66054902,Nausea,Mild
66054902,Headache,Mild
66054902,Dizziness,Severe
84763546,Fatigue,Moderate
84763546,Nausea,Severe
39498907,Headache,Moderate
39498907,Dry mouth,Severe
39498907,Dizziness,Mild
45222778,Dizziness,Severe
45222778,Headache,Moderate
97075509,Dizziness,Severe
70655031,Dry mouth,Severe
70655031,Headache,Severe
70655031,Dizziness,Severe
65554706,Nausea,Severe
65554706,Headache,Mild
65554706,Fatigue,Severe
65485293,Dry mouth,Severe
65485293,Fatigue,Moderate
67922497,Dry mouth,Moderate
31370289,Dizziness,Moderate
31370289,Nausea,Moderate
98472648,Headache,Severe
98472648,Fatigue,Moderate
98472648,Nausea,Severe
33131275,Dry mouth,Severe
33131275,Nausea,Moderate
33131275,Headache,Moderate
92245253,Dry mouth,Moderate
92245253,Dizziness,Mild
92245253,Nausea,Mild
42168138,Fatigue,Moderate
99897288,Dry mouth,Mild
99897288,Dizziness,Moderate
99897288,Fatigue,Moderate
57237027,Headache,Mild
57237027,Dry mouth,Mild
02597683,Headache,Severe
67412469,Headache,Severe
67215261,Dizziness,Mild
67215261,Nausea,Severe
67215261,Headache,Severe
01901821,Nausea,Severe
01901821,Dry mouth,Severe
75081350,Dry mouth,Severe
75081350,Nausea,Mild
13337883,Fatigue,Severe
13337883,Headache,Mild
13337883,Nausea,Severe
27208265,Dry mouth,Severe
83542041,Headache,Severe
22485560,Dizziness,Mild
22485560,Nausea,Mild
62839021,Fatigue,Moderate
62839021,Dry mouth,Moderate
62839021,Nausea,Mild
39331910,Dry mouth,Moderate
39331910,Dizziness,Moderate
15123397,Dry mouth,Severe
15123397,Headache,Mild
15123397,Dizziness,Moderate
51909832,Dry mouth,Moderate
51909832,Dizziness,Mild
69871945,Dizziness,Mild
69871945,Headache,Moderate
69871945,Fatigue,Severe
93284121,Dry mouth,Severe
93284121,Fatigue,Severe
93284121,Headache,Moderate
19732458,Dry mouth,Severe
19732458,Fatigue,Moderate
19732458,Headache,Mild
47329253,Dry mouth,Moderate
09985992,Nausea,Moderate
87630216,Nausea,Mild
83644866,Headache,Mild
13632359,Nausea,Mild
37780380,Nausea,Moderate
37780380,Dry mouth,Moderate
37780380,Fatigue,Moderate
38710555,Nausea,Mild
14955374,Nausea,Mild
14955374,Dry mouth,Moderate
14955374,Fatigue,Moderate
48227683,Headache,Moderate
99682089,Fatigue,Severe
99682089,Nausea,Moderate
99682089,Dizziness,Severe
48972091,Nausea,Moderate
48972091,Dizziness,Mild
48972091,Dry mouth,Severe
93158234,Dry mouth,Mild
93158234,Fatigue,Mild
93158234,Dizziness,Severe
18773286,Fatigue,Moderate
18773286,Dry mouth,Mild
18773286,Headache,Severe
38259378,Nausea,Moderate
65936817,Dizziness,Moderate
49960643,Dry mouth,Severe
49960643,Dizziness,Severe
49960643,Nausea,Severe
24093800,Dry mouth,Moderate
24093800,Nausea,Mild
49017847,Dizziness,Mild
49017847,Nausea,Severe
32218797,Dizziness,Moderate
35027392,Headache,Moderate
35027392,Nausea,Mild
35027392,Dizziness,Mild
96368487,Dry mouth,Mild
52784320,Fatigue,Severe
52784320,Headache,Severe
46289623,Dizziness,Severe
46289623,Headache,Severe
14530648,Nausea,Moderate
14530648,Fatigue,Mild
14530648,Headache,Severe
20088981,Dizziness,Mild
16929993,Dry mouth,Moderate
31408249,Nausea,Moderate
31408249,Fatigue,Mild
44510940,Dizziness,Mild
27892616,Dry mouth,Mild
27892616,Fatigue,Moderate
47281793,Headache,Severe
47281793,Nausea,Severe
32724741,Dizziness,Severe
97066232,Fatigue,Mild
97066232,Nausea,Mild
97066232,Dizziness,Mild
77052195,Dry mouth,Severe
77052195,Dizziness,Severe
64369007,Nausea,Moderate
64369007,Headache,Mild
93056577,Dry mouth,Mild
93056577,Nausea,Moderate
43387605,Fatigue,Mild
43387605,Dizziness,Mild
43387605,Nausea,Moderate
57005245,Fatigue,Severe
29398450,Dry mouth,Severe
29398450,Headache,Severe
29398450,Fatigue,Severe
18246094,Headache,Severe
18246094,Fatigue,Moderate
89783810,Fatigue,Moderate
89783810,Dizziness,Moderate
62314755,Headache,Mild
62314755,Dizziness,Severe
62314755,Fatigue,Moderate
78839149,Dizziness,Severe
78839149,Fatigue,Severe
78839149,Dry mouth,Severe
52672453,Dizziness,Severe
52672453,Dry mouth,Moderate
30407371,Fatigue,Severe
30407371,Headache,Moderate
30407371,Dry mouth,Severe
62822582,Fatigue,Moderate
06832686,Nausea,Mild
06832686,Headache,Severe
73072515,Dry mouth,Mild
81561603,Headache,Severe
66486094,Fatigue,Mild
66486094,Nausea,Mild
66486094,Dry mouth,Severe
31049291,Dry mouth,Severe
31049291,Fatigue,Severe
31049291,Dizziness,Mild
79575400,Nausea,Mild
79575400,Dizziness,Mild
79575400,Fatigue,Mild
16724372,Dizziness,Severe
16724372,Nausea,Mild
91466039,Dry mouth,Mild
91466039,Headache,Mild
83083125,Dry mouth,Mild
83083125,Nausea,Moderate
83083125,Fatigue,Mild
68187778,Dizziness,Mild
68187778,Fatigue,Mild
15248187,Dry mouth,Severe
15248187,Fatigue,Mild
73532826,Fatigue,Moderate
73532826,Dry mouth,Severe
25230717,Fatigue,Mild
10985312,Nausea,Severe
10985312,Headache,Severe
10985312,Dizziness,Mild
92738139,Dry mouth,Severe
92738139,Nausea,Mild
38464341,Fatigue,Mild
38464341,Dizziness,Moderate
38038774,Dry mouth,Mild
55411196,Dizziness,Moderate
55411196,Fatigue,Moderate
51327510,Dizziness,Severe
57870834,Dry mouth,Severe
57870834,Dizziness,Severe
57870834,Headache,Mild
43148627,Dizziness,Moderate
27705095,Dizziness,Severe
27705095,Headache,Mild
27705095,Nausea,Severe
73603222,Nausea,Moderate
73603222,Dry mouth,Mild
34073017,Headache,Mild
34073017,Fatigue,Mild
34073017,Dizziness,Severe
04813825,Headache,Moderate
04813825,Dry mouth,Moderate
04813825,Dizziness,Moderate
35013649,Headache,Severe
26857064,Dizziness,Severe
26857064,Fatigue,Moderate
28816678,Nausea,Severe
75964402,Dry mouth,Mild
75964402,Nausea,Moderate
98510729,Dizziness,Severe
98510729,Nausea,Severe
98510729,Fatigue,Mild
31682484,Nausea,Mild
31682484,Dizziness,Mild
31682484,Fatigue,Mild
30530593,Dizziness,Moderate
30530593,Dry mouth,Moderate
30530593,Headache,Mild
59598010,Dry mouth,Severe
59598010,Nausea,Moderate
59598010,Fatigue,Moderate
59811375,Headache,Mild
59811375,Dizziness,Moderate
16571443,Fatigue,Mild
16571443,Dizziness,Severe
97962854,Nausea,Mild
26686880,Fatigue,Severe
26686880,Dizziness,Moderate
26686880,Nausea,Mild
54173762,Dry mouth,Moderate
81621611,Headache,Mild
81621611,Nausea,Severe
81621611,Fatigue,Mild
34065382,Fatigue,Severe
34065382,Dizziness,Moderate
74474752,Fatigue,Severe
70928076,Headache,Mild
70928076,Dry mouth,Severe
37791430,Dry mouth,Severe
14014212,Headache,Mild
14014212,Dizziness,Severe
62749337,Headache,Mild
43317220,Nausea,Mild
43317220,Dry mouth,Moderate
43317220,Headache,Severe
55915069,Dry mouth,Moderate
87216989,Dry mouth,Moderate
58127194,Dizziness,Moderate
58127194,Nausea,Moderate
58127194,Fatigue,Mild
91905400,Nausea,Moderate
68995730,Headache,Severe
68995730,Fatigue,Severe
68995730,Nausea,Moderate
47452773,Dizziness,Mild
47452773,Headache,Mild
79956098,Fatigue,Moderate
79956098,Dry mouth,Severe
79956098,Nausea,Severe
85254413,Dizziness,Severe
85254413,Dry mouth,Severe
85254413,Nausea,Severe
90751613,Fatigue,Severe
90751613,Headache,Moderate
20176747,Dry mouth,Severe
20176747,Dizziness,Mild
20176747,Headache,Severe
43708466,Dizziness,Moderate
43708466,Dry mouth,Moderate
45042269,Nausea,Severe
45042269,Headache,Severe
06413686,Dizziness,Severe
62215095,Headache,Moderate
62215095,Fatigue,Severe
64587038,Dry mouth,Severe
64587038,Headache,Mild
89470822,Dizziness,Moderate
89470822,Fatigue,Mild
89470822,Nausea,Severe
78096856,Dizziness,Severe
43275564,Headache,Mild
11627846,Fatigue,Severe
02958981,Dizziness,Moderate
02958981,Headache,Mild
02958981,Fatigue,Severe
29463612,Nausea,Mild
29463612,Dry mouth,Moderate
29463612,Fatigue,Severe
36597782,Dry mouth,Severe
40127585,Dizziness,Severe
40127585,Dry mouth,Severe
40127585,Fatigue,Mild
85260956,Nausea,Severe
76635920,Nausea,Mild
76635920,Dry mouth,Severe
76635920,Dizziness,Moderate
09693441,Fatigue,Moderate
09693441,Dizziness,Severe
09693441,Headache,Moderate
97689912,Nausea,Moderate
97689912,Headache,Moderate
04573517,Dizziness,Moderate
04573517,Dry mouth,Severe
04573517,Nausea,Moderate
08343655,Headache,Severe
01611306,Headache,Moderate
01611306,Nausea,Mild
83828138,Dry mouth,Moderate
44766316,Headache,Moderate
44766316,Nausea,Severe
64511269,Dry mouth,Moderate
71888651,Dry mouth,Severe
71888651,Dizziness,Severe
71888651,Nausea,Severe
57007351,Dry mouth,Mild
57007351,Fatigue,Mild
52918143,Fatigue,Mild
52918143,Dizziness,Moderate
52918143,Nausea,Mild
29832251,Fatigue,Severe
