foodname,allergyName,ConflictCheck
Fire,Peanuts,True
Six,Dust,True
Television,Latex,True
Young,Shellfish,True
Senior,Peanuts,True
Able,Peanuts,True
Issue,Shellfish,True
With,Dust,True
Sure,Shellfish,True
Mrs,Dust,True
Key,Peanuts,True
Cold,Peanuts,True
Direction,Shellfish,True
Degree,Peanuts,True
Offer,Peanuts,True
Exist,Shellfish,True
Television,Dust,True
Support,Shellfish,True
Drop,Shellfish,True
List,Mold,True
Itself,Shellfish,True
Sure,Mold,True
With,Mold,True
Key,Latex,True
Point,Peanuts,True
Seem,Peanuts,True
Report,Dust,True
Class,Pollen,True
Child,Latex,True
Central,Latex,True
Fund,Peanuts,True
Apply,Pollen,True
Low,Peanuts,True
Business,Shellfish,True
General,Shellfish,True
Probably,Latex,True
Attention,Dust,True
Easy,Pollen,True
Degree,Pollen,True
Build,Dust,True
Rather,Peanuts,True
Second,Dust,True
Drive,Shellfish,True
Fire,Pollen,True
Early,Shellfish,True
Oil,Pollen,True
Former,Mold,True
High,Pollen,True
Table,Peanuts,True
Prevent,Mold,True
Cold,Latex,True
Statement,Mold,True
Top,Peanuts,True
Support,Dust,True
Feeling,Peanuts,True
Apply,Shellfish,True
Reason,Pollen,True
Economy,Mold,True
Road,Shellfish,True
Top,Latex,True
Everything,Pollen,True
Market,Peanuts,True
Capital,Dust,True
Painting,Dust,True
Practice,Mold,True
Easy,Latex,True
Control,Peanuts,True
Dark,Latex,True
Skin,Dust,True
Bring,Shellfish,True
Evening,Latex,True
Reveal,Mold,True
Second,Latex,True
Group,Mold,True
Attention,Mold,True
Capital,Latex,True
Which,Peanuts,True
Effect,Latex,True
Music,Latex,True
Someone,Mold,True
Food,Pollen,True
Seem,Pollen,True
Early,Dust,True
Share,Dust,True
Of,Peanuts,True
Individual,Dust,True
Six,Mold,True
Why,Shellfish,True
Development,Mold,True
Reality,Peanuts,True
Class,Peanuts,True
Group,Latex,True
Newspaper,Mold,True
Vote,Pollen,True
Born,Dust,True
Out,Shellfish,True
Minute,Peanuts,True
Herself,Mold,True
Share,Peanuts,True
Practice,Latex,True
Loss,Dust,True
Movement,Latex,True
Listen,Peanuts,True
Small,Mold,True
Same,Peanuts,True
Several,Latex,True
Issue,Latex,True
Million,Latex,True
Usually,Shellfish,True
Why,Pollen,True
Apply,Latex,True
None,Shellfish,True
Clearly,Mold,True
Action,Peanuts,True
Great,Pollen,True
Pass,Pollen,True
Blue,Latex,True
Suddenly,Latex,True
Condition,Pollen,True
Coach,Dust,True
Would,Latex,True
Former,Latex,True
Someone,Latex,True
Stage,Dust,True
Million,Peanuts,True
Statement,Dust,True
Fund,Latex,True
Reveal,Latex,True
Outside,Pollen,True
Week,Peanuts,True
Level,Peanuts,True
Top,Mold,True
High,Dust,True
Information,Dust,True
Oil,Mold,True
Field,Peanuts,True
Goal,Dust,True
Offer,Mold,True
Writer,Peanuts,True
Own,Pollen,True
Cell,Pollen,True
Able,Dust,True
Issue,Mold,True
Road,Mold,True
Painting,Latex,True
Loss,Peanuts,True
Economy,Peanuts,True
Six,Latex,True
Itself,Latex,True
Food,Shellfish,True
Everything,Peanuts,True
Bring,Peanuts,True
Get,Shellfish,True
Police,Dust,True
Author,Dust,True
Same,Latex,True
Central,Peanuts,True
Bar,Latex,True
Sport,Pollen,True
Action,Shellfish,True
Out,Pollen,True
Blue,Mold,True
National,Mold,True
Painting,Shellfish,True
Couple,Shellfish,True
Newspaper,Latex,True
Same,Pollen,True
Exist,Peanuts,True
Professor,Dust,True
Act,Latex,True
Free,Shellfish,True
Practice,Pollen,True
Level,Shellfish,True
Movement,Dust,True
Vote,Dust,True
Without,Latex,True
Spring,Mold,True
Above,Mold,True
Audience,Mold,True
Development,Shellfish,True
Official,Mold,True
Free,Peanuts,True
Art,Dust,True
Sure,Latex,True
Goal,Mold,True
Support,Pollen,True
Blue,Shellfish,True
Effect,Dust,True
Break,Pollen,True
Conference,Shellfish,True
Issue,Dust,True
Call,Latex,True
War,Peanuts,True
Happen,Shellfish,True
Reality,Mold,True
Mrs,Latex,True
Order,Pollen,True
Itself,Mold,True
Table,Dust,True
Every,Mold,True
Owner,Latex,True
Sport,Peanuts,True
They,Latex,True
Condition,Latex,True
School,Dust,True
Pass,Peanuts,True
Attack,Pollen,True
Several,Pollen,True
Edge,Pollen,True
Clearly,Pollen,True
Direction,Latex,True
Billion,Mold,True
Direction,Mold,True
Need,Peanuts,True
Child,Shellfish,True
School,Latex,True
Market,Dust,True
Cell,Mold,True
Minute,Dust,True
Outside,Peanuts,True
Key,Pollen,True
Field,Pollen,True
High,Peanuts,True
Outside,Dust,True
Prevent,Dust,True
Billion,Pollen,True
Together,Pollen,True
Skin,Shellfish,True
Break,Latex,True
Energy,Shellfish,True
Green,Mold,True
Young,Mold,True
National,Dust,True
Bar,Pollen,True
Analysis,Dust,True
Young,Dust,True
Miss,Dust,True
Spring,Pollen,True
Get,Pollen,True
Act,Shellfish,True
Rich,Peanuts,True
Party,Shellfish,True
Above,Latex,True
Bring,Mold,True
His,Shellfish,True
Cold,Shellfish,True
Pass,Dust,True
Serious,Shellfish,True
Development,Latex,True
Try,Peanuts,True
Miss,Shellfish,True
Environment,Peanuts,True
Call,Mold,True
Arm,Peanuts,True
Exist,Mold,True
Letter,Pollen,True
Family,Peanuts,True
Future,Dust,True
Week,Mold,True
Decide,Latex,True
The,Latex,True
Education,Peanuts,True
With,Pollen,True
Action,Dust,True
Couple,Latex,True
List,Latex,True
Color,Shellfish,True
Practice,Shellfish,True
Order,Mold,True
Fire,Latex,True
Without,Pollen,True
Maybe,Latex,True
Pass,Mold,True
Class,Shellfish,True
Rich,Dust,True
Clearly,Peanuts,True
Spring,Peanuts,True
Coach,Shellfish,True
Under,Latex,True
Group,Pollen,True
Six,Shellfish,True
Road,Latex,True
Great,Dust,True
Subject,Pollen,True
Oil,Shellfish,True
Difficult,Shellfish,True
Feeling,Pollen,True
Central,Shellfish,True
Per,Shellfish,True
Rich,Shellfish,True
Listen,Shellfish,True
Drop,Dust,True
Nation,Peanuts,True
Purpose,Pollen,True
Edge,Peanuts,True
Week,Dust,True
Itself,Pollen,True
Call,Dust,True
Professor,Pollen,True
Vote,Latex,True
Field,Latex,True
Difficult,Mold,True
Inside,Shellfish,True
High,Latex,True
Free,Mold,True
Street,Shellfish,True
Would,Shellfish,True
Easy,Mold,True
Commercial,Pollen,True
Newspaper,Pollen,True
Attack,Latex,True
Edge,Shellfish,True
Police,Pollen,True
None,Mold,True
Break,Shellfish,True
List,Dust,True
Practice,Dust,True
Born,Mold,True
Free,Pollen,True
Great,Peanuts,True
Education,Mold,True
Television,Pollen,True
Rather,Pollen,True
Back,Dust,True
Member,Latex,True
Through,Peanuts,True
Conference,Peanuts,True
Per,Mold,True
Purpose,Dust,True
Several,Peanuts,True
Buy,Shellfish,True
Owner,Mold,True
Blue,Peanuts,True
Night,Pollen,True
Party,Peanuts,True
Drop,Peanuts,True
