foodname,foodgroup,calories,protein,fats
Stage,<class 'type'>,211,4,1
Writer,<class 'type'>,281,2,17
Under,<class 'type'>,118,3,4
Statement,<class 'type'>,172,6,1
Table,<class 'type'>,155,4,6
Share,<class 'type'>,235,13,0
Conference,<class 'type'>,240,3,14
Cell,<class 'type'>,275,19,17
Week,<class 'type'>,139,10,19
Somebody,<class 'type'>,72,13,17
Direction,<class 'type'>,235,3,1
Point,<class 'type'>,201,12,18
Crime,<class 'type'>,268,6,16
Action,<class 'type'>,120,4,15
Class,<class 'type'>,164,6,5
Official,<class 'type'>,183,18,14
Senior,<class 'type'>,219,13,17
Minute,<class 'type'>,258,2,16
Attention,<class 'type'>,286,15,0
Probably,<class 'type'>,233,18,6
Art,<class 'type'>,82,19,14
Music,<class 'type'>,165,3,4
Drop,<class 'type'>,167,16,9
Rich,<class 'type'>,227,8,6
Coach,<class 'type'>,69,10,11
Apply,<class 'type'>,196,18,7
Easy,<class 'type'>,119,11,18
Fire,<class 'type'>,104,4,3
Back,<class 'type'>,297,7,5
Nor,<class 'type'>,224,7,9
Several,<class 'type'>,271,5,19
Audience,<class 'type'>,271,20,16
Better,<class 'type'>,163,11,17
War,<class 'type'>,90,1,20
Inside,<class 'type'>,160,10,0
Young,<class 'type'>,68,4,14
Capital,<class 'type'>,126,8,6
Cold,<class 'type'>,199,11,11
Activity,<class 'type'>,262,15,13
None,<class 'type'>,205,15,0
Sport,<class 'type'>,152,12,5
Fine,<class 'type'>,220,1,5
Out,<class 'type'>,110,19,15
Blue,<class 'type'>,149,5,15
Every,<class 'type'>,149,15,4
Build,<class 'type'>,100,16,1
Serious,<class 'type'>,253,4,9
Bed,<class 'type'>,225,11,15
Dark,<class 'type'>,178,6,8
Together,<class 'type'>,288,19,10
Author,<class 'type'>,249,15,9
High,<class 'type'>,232,20,5
Act,<class 'type'>,173,12,19
Which,<class 'type'>,250,17,17
Same,<class 'type'>,242,3,13
List,<class 'type'>,193,12,9
Difficult,<class 'type'>,94,10,14
Stay,<class 'type'>,87,13,7
Street,<class 'type'>,143,4,1
Without,<class 'type'>,210,12,4
Vote,<class 'type'>,209,10,0
Education,<class 'type'>,66,16,20
Real,<class 'type'>,102,19,19
Issue,<class 'type'>,88,0,10
Newspaper,<class 'type'>,108,6,18
Rate,<class 'type'>,85,7,5
Herself,<class 'type'>,118,19,12
Night,<class 'type'>,146,0,2
Everything,<class 'type'>,230,1,3
Feeling,<class 'type'>,53,3,6
Business,<class 'type'>,108,9,3
Born,<class 'type'>,288,2,2
Clearly,<class 'type'>,102,18,20
Second,<class 'type'>,274,6,9
General,<class 'type'>,178,16,15
Need,<class 'type'>,237,15,0
Edge,<class 'type'>,205,12,7
Television,<class 'type'>,265,18,18
Letter,<class 'type'>,286,15,11
Early,<class 'type'>,163,18,13
Deep,<class 'type'>,264,4,5
Purpose,<class 'type'>,75,5,16
Former,<class 'type'>,151,2,14
Interest,<class 'type'>,296,4,17
Skin,<class 'type'>,80,6,0
Top,<class 'type'>,118,11,6
Market,<class 'type'>,119,20,10
Movement,<class 'type'>,200,15,10
Call,<class 'type'>,297,13,17
Million,<class 'type'>,213,0,5
Food,<class 'type'>,85,8,11
Rather,<class 'type'>,220,15,19
Gun,<class 'type'>,162,13,4
Bring,<class 'type'>,263,17,20
Able,<class 'type'>,177,8,13
Maybe,<class 'type'>,69,1,4
Democrat,<class 'type'>,261,15,19
Including,<class 'type'>,141,0,3
Reality,<class 'type'>,185,8,4
Itself,<class 'type'>,266,1,17
Would,<class 'type'>,265,12,10
Degree,<class 'type'>,192,6,6
Low,<class 'type'>,247,4,5
Hospital,<class 'type'>,254,14,17
Level,<class 'type'>,189,8,19
Economy,<class 'type'>,154,17,1
Evening,<class 'type'>,74,3,7
Source,<class 'type'>,299,12,11
Nation,<class 'type'>,290,0,18
Miss,<class 'type'>,233,3,7
Scene,<class 'type'>,205,16,2
Reveal,<class 'type'>,212,0,12
Pass,<class 'type'>,206,14,13
Condition,<class 'type'>,182,3,12
Them,<class 'type'>,52,0,4
Try,<class 'type'>,96,5,12
Effect,<class 'type'>,293,19,18
Subject,<class 'type'>,77,13,1
Bar,<class 'type'>,225,10,18
Region,<class 'type'>,52,5,3
Short,<class 'type'>,116,3,6
Party,<class 'type'>,291,1,2
Per,<class 'type'>,152,13,19
Exist,<class 'type'>,179,1,9
Oil,<class 'type'>,148,4,10
Sound,<class 'type'>,200,11,0
Family,<class 'type'>,62,3,6
Green,<class 'type'>,194,1,20
Road,<class 'type'>,184,5,6
Environment,<class 'type'>,270,12,14
Above,<class 'type'>,166,4,10
Own,<class 'type'>,230,3,14
Report,<class 'type'>,173,9,6
Small,<class 'type'>,132,3,6
Future,<class 'type'>,286,11,12
Pm,<class 'type'>,214,2,0
Free,<class 'type'>,166,0,2
His,<class 'type'>,55,5,0
Couple,<class 'type'>,68,10,0
Sure,<class 'type'>,159,16,15
Six,<class 'type'>,193,5,9
Decide,<class 'type'>,118,18,8
Usually,<class 'type'>,224,0,1
Attack,<class 'type'>,162,6,13
Mrs,<class 'type'>,208,20,8
Buy,<class 'type'>,163,19,17
Great,<class 'type'>,74,2,19
They,<class 'type'>,117,11,7
Individual,<class 'type'>,287,20,8
Ask,<class 'type'>,285,2,2
Painting,<class 'type'>,61,19,2
Development,<class 'type'>,115,3,2
Child,<class 'type'>,51,8,1
And,<class 'type'>,215,17,3
Culture,<class 'type'>,180,11,14
Practice,<class 'type'>,86,15,18
Suddenly,<class 'type'>,142,19,10
Field,<class 'type'>,62,19,0
Offer,<class 'type'>,160,2,8
Someone,<class 'type'>,246,8,3
Spring,<class 'type'>,196,7,9
Single,<class 'type'>,251,13,18
Information,<class 'type'>,61,4,9
Why,<class 'type'>,216,2,12
Finish,<class 'type'>,276,8,2
Analysis,<class 'type'>,248,18,15
Police,<class 'type'>,162,13,12
Central,<class 'type'>,87,16,14
Member,<class 'type'>,156,4,14
Energy,<class 'type'>,200,3,18
Arm,<class 'type'>,112,7,2
Fund,<class 'type'>,216,16,13
The,<class 'type'>,263,13,1
National,<class 'type'>,246,15,1
Owner,<class 'type'>,212,13,19
Outside,<class 'type'>,132,0,10
Order,<class 'type'>,213,7,13
Seem,<class 'type'>,107,3,19
Goal,<class 'type'>,297,10,15
Season,<class 'type'>,267,14,6
Through,<class 'type'>,192,10,16
Commercial,<class 'type'>,60,20,16
With,<class 'type'>,108,4,14
Color,<class 'type'>,207,1,16
Get,<class 'type'>,211,6,16
Happen,<class 'type'>,220,14,16
School,<class 'type'>,173,20,9
Of,<class 'type'>,204,16,7
Reason,<class 'type'>,120,19,1
Key,<class 'type'>,255,12,6
Control,<class 'type'>,116,0,7
Break,<class 'type'>,259,13,2
Group,<class 'type'>,149,12,3
Support,<class 'type'>,254,4,16
Prevent,<class 'type'>,86,11,20
Billion,<class 'type'>,276,9,17
Listen,<class 'type'>,233,7,2
Drive,<class 'type'>,177,6,8
Loss,<class 'type'>,240,11,7
Professor,<class 'type'>,82,1,9
