medicationAID,medicationBID,ConflictCheck,severity
67204709,62078102,True,Medium
66567504,58319381,True,High
26150253,87616770,True,High
94547788,40433261,True,Medium
00155533,93882352,True,High
25277670,80106993,True,Low
34257859,13368097,True,Low
25866704,11207427,True,High
89788201,78516362,True,Low
98234904,83761444,True,Medium
24766163,81348427,True,High
30989246,11164115,True,Low
18917172,00077419,True,Low
58387783,11574939,True,Medium
18445476,68670285,True,Low
39085743,11421951,True,Low
80938310,89293712,True,High
59902668,53373600,True,Medium
54331287,48097822,True,Medium
32439342,25277670,True,Low
69471795,85599111,True,High
99805763,37015817,True,Low
32249845,87616770,True,Low
99945434,61223541,True,Low
78494308,62246247,True,Medium
32227668,66535827,True,High
18759127,53437785,True,Medium
05228161,16467035,True,Medium
03765804,79686921,True,Low
85242281,24194392,True,Medium
99867588,93841771,True,Medium
71777063,27985229,True,Medium
98126844,03554309,True,Medium
24599727,79211051,True,Medium
94394742,31218449,True,Low
44665384,53015946,True,Low
08445637,15757992,True,Low
76443740,49759639,True,High
30366468,73713010,True,Medium
33795239,61697136,True,Low
93101298,99945434,True,Medium
10155252,61926320,True,High
94680282,32800271,True,High
53918062,83761444,True,High
77084348,81308528,True,Medium
01160475,75140081,True,Low
59902668,89128051,True,High
51837657,52078224,True,High
02145085,04542443,True,Medium
30840103,91308151,True,Medium
03022022,91811215,True,High
51963652,75114255,True,High
08220567,23341326,True,Low
00155533,62581237,True,High
52078224,01550438,True,High
69839208,99292201,True,Medium
83882804,67027323,True,Low
29185470,91184091,True,Medium
90393040,64076550,True,High
61798493,58319381,True,High
27873284,33560964,True,High
59179145,27307080,True,Low
04769045,46950761,True,Medium
74433062,99209217,True,Medium
30150925,06558706,True,High
61420274,20608488,True,High
29782379,11421951,True,Medium
39785558,93392974,True,High
16988187,98126844,True,High
52477162,50567661,True,Medium
08160325,38727494,True,High
01647094,14273636,True,Medium
40038110,22627701,True,High
32800271,56300521,True,Low
78351196,52255783,True,Low
52865371,82472167,True,Low
70808253,81417728,True,Medium
85904143,94699296,True,Low
01894728,61995874,True,Medium
70547073,16447099,True,Low
31201262,56817459,True,High
72637587,11653047,True,High
34581166,02701988,True,Low
93056453,87295987,True,High
23448411,34874080,True,Medium
44869321,46573733,True,High
18983471,07921300,True,Medium
31425311,44530615,True,Low
29340410,73111133,True,High
52997185,76015192,True,Medium
41052671,11164115,True,Low
54252336,72938656,True,Low
83761444,26166309,True,Medium
84049173,23448411,True,High
79977123,94547788,True,High
33560964,70634741,True,High
72327410,84049173,True,Low
29185470,28162503,True,High
50567661,74229870,True,High
38938106,81348427,True,Medium
32227668,80206513,True,Medium
16269372,99922311,True,Low
13420394,79686921,True,Low
45714163,06584960,True,High
55960668,05418226,True,Medium
61223541,87645684,True,Low
81348427,31201262,True,High
03575902,27196767,True,Low
50609538,50567661,True,Medium
44550463,27705287,True,Medium
11544593,07127238,True,High
70453236,19160102,True,Low
28229253,73111133,True,High
61729141,07621285,True,Low
80315251,55960668,True,Medium
93977077,44687688,True,High
54759267,26223890,True,Low
60241288,77770215,True,High
16467035,01851476,True,High
37278229,19553471,True,Low
41052671,47729223,True,Medium
70547073,11694484,True,Low
26871430,29852270,True,High
23727228,15987752,True,Low
29262957,42217017,True,High
64872601,47129198,True,Medium
63896224,66370351,True,Medium
