med_id,allergy_name,severity
91876563,Peanuts,High
03393347,Pollen,Medium
86373761,Dust,High
46487555,Dust,High
45750260,Pollen,Low
06217050,Dust,Medium
33858602,Shellfish,Medium
61482664,Pollen,Medium
35924317,Dust,High
43145237,Shellfish,Low
03393347,Pollen,Medium
89169611,Peanuts,Low
82100457,Mold,Low
55444067,Dust,High
98642911,Shellfish,High
11953321,Shellfish,Medium
16877872,Peanuts,High
75973043,Peanuts,Low
82100457,Shellfish,High
41585411,Pollen,High
86373761,Shellfish,High
78726578,Mold,Medium
35924317,Pollen,High
46487555,Peanuts,Medium
03393347,Pollen,High
88315794,Pollen,Low
50747513,Dust,High
16877872,Shellfish,Low
89179935,Dust,Medium
35924317,Latex,Medium
