med_id,med_name,drug_class,administration_details,storage_details
45750260,Western,Antibiotic,Oral,Keep refrigerated
85160198,Anyone,Antibiotic,Oral,Avoid direct sunlight
10277929,Name,Antidepressant,Injectable,Store at room temperature
06394156,Ball,Analgesic,Topical,Keep refrigerated
50747513,Successful,Antiviral,Oral,Keep refrigerated
84700457,Front,Antibiotic,Oral,Store at room temperature
97755183,Fight,Antidepressant,Topical,Avoid direct sunlight
34481960,Field,Antidepressant,Injectable,Store at room temperature
01788803,Who,Antidepressant,Injectable,Keep refrigerated
83507044,Phone,Antidepressant,Oral,Store at room temperature
18113767,Leg,Antiviral,Injectable,Avoid direct sunlight
28673536,Low,Antibiotic,Topical,Avoid direct sunlight
43145237,Source,Antidepressant,Topical,Store at room temperature
75202414,Bank,Antibiotic,Injectable,Avoid direct sunlight
37136880,New,Antibiotic,Oral,Store at room temperature
25507831,Relate,Antidepressant,Oral,Avoid direct sunlight
61482664,Research,Analgesic,Injectable,Keep refrigerated
33858602,Personal,Analgesic,Injectable,Avoid direct sunlight
55444067,Idea,Antiviral,Oral,Keep refrigerated
72843025,Successful,Antidepressant,Topical,Keep refrigerated
67320157,Area,Antiviral,Oral,Avoid direct sunlight
15514130,Media,Antiviral,Injectable,Avoid direct sunlight
98642911,Teacher,Antibiotic,Oral,Keep refrigerated
44592139,Enter,Antibiotic,Topical,Keep refrigerated
37748551,Increase,Analgesic,Topical,Avoid direct sunlight
23769568,Light,Antidepressant,Injectable,Avoid direct sunlight
89179935,Likely,Antiviral,Oral,Store at room temperature
29336737,Simple,Antibiotic,Injectable,Keep refrigerated
10918684,Necessary,Antidepressant,Oral,Store at room temperature
81279099,Each,Antibiotic,Topical,Store at room temperature
03393347,Newspaper,Antidepressant,Oral,Avoid direct sunlight
61402244,Space,Antidepressant,Injectable,Store at room temperature
99337392,Until,Antibiotic,Oral,Store at room temperature
91876563,Friend,Antidepressant,Topical,Avoid direct sunlight
84093616,Food,Analgesic,Oral,Avoid direct sunlight
80869164,Mission,Antiviral,Topical,Keep refrigerated
90357990,Billion,Antidepressant,Oral,Keep refrigerated
35924317,Off,Antiviral,Injectable,Avoid direct sunlight
89169611,Either,Antibiotic,Topical,Store at room temperature
59456435,College,Analgesic,Injectable,Avoid direct sunlight
16877872,Under,Analgesic,Oral,Keep refrigerated
41439978,Bill,Antiviral,Topical,Avoid direct sunlight
06217050,Theory,Antibiotic,Topical,Keep refrigerated
34680391,Spend,Antibiotic,Topical,Keep refrigerated
62157225,Rich,Antibiotic,Injectable,Store at room temperature
48424101,Yet,Antibiotic,Oral,Keep refrigerated
88315794,Organization,Antiviral,Oral,Keep refrigerated
51789547,Spend,Antibiotic,Oral,Keep refrigerated
41585411,Identify,Antibiotic,Oral,Avoid direct sunlight
45347501,Child,Antidepressant,Injectable,Store at room temperature
28703220,Operation,Antibiotic,Oral,Store at room temperature
86373761,Art,Antibiotic,Injectable,Avoid direct sunlight
35171956,Finally,Antiviral,Oral,Store at room temperature
75973043,Sea,Analgesic,Injectable,Avoid direct sunlight
82100457,Thought,Analgesic,Oral,Avoid direct sunlight
35783708,Special,Antidepressant,Injectable,Store at room temperature
11953321,Off,Antibiotic,Oral,Store at room temperature
67512331,Enough,Antibiotic,Injectable,Store at room temperature
46487555,Truth,Antiviral,Injectable,Keep refrigerated
78726578,Throw,Antidepressant,Injectable,Avoid direct sunlight
